Mouse_ID,POND_Mouse_ID,Study_Name,Is_Wildtype,Genotype,MGI_Genotype,Background,Mouse_Weight,Mouse_Age,Mouse_Sex,Scan_Type,Scan_Coil,Scan_Date,Isotropic_Voxel_Resolution,right_dentate_nucleus,left_thalamus,right_striatum,right_corpus_callosum,left_internal_capsule,left_striatum,left_fornix,right_globus_pallidus,right_Primary_auditory_cortex,right_Secondary_auditory_cortex_dorsal_area,right_Secondary_auditory_cortex_ventral_area,right_amygdala,right_basal_forebrain,right_fundus_of_striatum,right_lateral_ventricle,right_Claustrum,left_mammillary_bodies,right_Claustrum_dorsal_part,left_corpus_callosum,left_lateral_ventricle,right_Lateral_orbital_cortex,right_Primary_motor_cortex,right_Secondary_motor_cortex,right_Primary_somatosensory_cortex,right_internal_capsule,left_optic_tract,right_Primary_somatosensory_cortex_barrel_field,right_Primary_somatosensory_cortex_dysgranular_zone,right_fornix,right_Primary_somatosensory_cortex_forelimb_region,right_Primary_somatosensory_cortex_hindlimb_region,right_Primary_somatosensory_cortex_jaw_region,right_Primary_somatosensory_cortex_shoulder_region,right_Primary_somatosensory_cortex_trunk_region,right_Primary_somatosensory_cortex_upper_lip_region,right_Secondary_somatosensory_cortex,right_Primary_visual_cortex,right_Primary_visual_cortex_binocular_area,right_Primary_visual_cortex_monocular_area,right_Secondary_visual_cortex_lateral_area,left_globus_pallidus,right_Secondary_visual_cortex_mediolateral_area,right_Secondary_visual_cortex_mediomedial_area,left_hypothalamus,left_amygdala,left_basal_forebrain,left_fundus_of_striatum,left_nucleus_accumbens,right_Claustrum_ventral_part,left_stria_terminalis,right_Ventral_nucleus_of_the_endopiriform_claustrum,right_mammillary_bodies,right_Ventral_orbital_cortex,medulla,right_bed_nucleus_of_stria_terminalis,left_pontine_nucleus,pons,midbrain,left_dentate_nucleus,right_thalamus,left_Primary_auditory_cortex,left_Secondary_auditory_cortex_dorsal_area,left_Secondary_auditory_cortex_ventral_area,right_hypothalamus,left_Insular_region_not_subdivided,left_Primary_motor_cortex,left_Secondary_motor_cortex,left_Medial_orbital_cortex,left_Primary_somatosensory_cortex,left_Primary_somatosensory_cortex_barrel_field,left_Primary_somatosensory_cortex_dysgranular_zone,left_Primary_somatosensory_cortex_forelimb_region,left_Primary_somatosensory_cortex_hindlimb_region,left_Primary_somatosensory_cortex_jaw_region,left_Primary_somatosensory_cortex_shoulder_region,left_Primary_somatosensory_cortex_trunk_region,left_Primary_somatosensory_cortex_upper_lip_region,left_Secondary_somatosensory_cortex,left_Secondary_visual_cortex_lateral_area,left_Secondary_visual_cortex_mediolateral_area,left_Secondary_visual_cortex_mediomedial_area,left_CA10r,right_LMol,left_LMol,right_CA1Rad,left_CA1Rad,right_CA2Py,left_CA2Py,right_CA20r,left_CA20r,right_CA2Rad,left_CA2Rad,right_CA3Py_Inner,left_CA3Py_Inner,right_CA3Py_Outer,left_CA3Py_Outer,right_CA30r,left_CA30r,right_CA3Rad,left_CA3Rad,right_SLu,left_SLu,right_MoDG,left_MoDG,right_GrDG,left_GrDG,right_PoDG,left_PoDG,right_subiculum,left_subiculum,right_CA1Py,left_CA1Py,right_CA10r,right_Medial_amygdala,left_Medial_amygdala,Total_brain_volume
TT_15q_718,PND12_HSC_0002,PND12,MUT,15q11-13 (patDp/+),PatDp(7Herc2-Mkrn3)1Taku/+,C57BL/6J,(Empty),P070-077,M,T2 FSE 3D,3,01/07/2012,56,0.16,8.06,10.39,5.77,1.3,10.7,0.32,1.52,0.81,0.78,0.96,4.55,2.57,0.07,1.73,0.16,0.26,0.11,6.18,1.61,1.58,3.38,2.96,2.07,1.38,0.8,4.39,0.18,0.3,1.85,1.16,0.32,0.09,0.21,2.85,3.4,1.21,1.15,0.81,1.51,1.5,0.43,0.74,5.17,4.77,2.53,0.08,2.14,0.28,0.47,0.25,0.23,0.7,27.29,0.68,0.42,17.1,13.13,0.16,8.06,0.74,0.72,0.76,5.05,3.46,3.71,3.05,0.9,2.06,4.54,0.19,1.93,1.34,0.29,0.11,0.31,2.48,3.1,1.27,0.6,0.92,1.14,1.23,1.28,1.47,1.33,0.12,0.13,0.24,0.31,0.29,0.29,0.08,0.08,0.56,0.57,1.46,1.51,1.04,1.04,0.41,0.44,1.97,2.16,0.68,0.75,0.32,0.31,1.6,1.59,0.62,0.6,1.06,0.58,0.58,446.24
TT_15q_720,PND12_HSC_0004,PND12,MUT,15q11-13 (patDp/+),PatDp(7Herc2-Mkrn3)1Taku/+,C57BL/6J,(Empty),P070-077,M,T2 FSE 3D,14,30/06/2012,56,0.16,8.44,10.5,6.15,1.29,10.5,0.33,1.5,0.77,0.74,0.99,4.47,2.49,0.08,1.85,0.16,0.25,0.11,6.35,1.63,1.72,3.33,2.91,2.17,1.4,0.85,4.28,0.17,0.31,1.77,1.12,0.32,0.09,0.21,2.95,3.45,1.23,1.11,0.78,1.51,1.48,0.43,0.73,5,4.96,2.47,0.08,2.15,0.27,0.49,0.25,0.23,0.76,27.36,0.67,0.4,17.13,13.51,0.17,8.02,0.78,0.75,0.82,4.92,3.83,3.8,3.08,0.88,2.09,4.53,0.19,1.92,1.35,0.29,0.11,0.32,2.52,3.26,1.34,0.62,0.94,1.24,1.29,1.34,1.52,1.42,0.11,0.13,0.24,0.33,0.28,0.3,0.09,0.08,0.57,0.56,1.54,1.5,1.07,1.02,0.41,0.42,2.11,2.26,0.75,0.8,0.37,0.35,1.69,1.72,0.61,0.63,1.05,0.63,0.49,452.8
TT_15q_724,PND12_HSC_0007,PND12,MUT,15q11-13 (patDp/+),PatDp(7Herc2-Mkrn3)1Taku/+,C57BL/6J,(Empty),P070-077,M,T2 FSE 3D,14,01/07/2012,56,0.17,8.42,10.79,5.99,1.29,10.57,0.31,1.51,0.81,0.76,1.03,4.52,2.57,0.08,1.79,0.17,0.27,0.1,6.06,1.54,1.79,3.58,3.12,2.21,1.39,0.83,4.09,0.17,0.3,1.73,1.14,0.33,0.09,0.22,2.85,3.26,1.33,1.15,0.84,1.59,1.5,0.46,0.82,5.16,5.05,2.5,0.08,2.18,0.25,0.47,0.25,0.24,0.81,29.52,0.7,0.43,17.58,13.53,0.18,8.07,0.85,0.82,0.91,5.03,4.02,3.83,3.18,0.98,2.12,4.69,0.19,1.94,1.37,0.28,0.11,0.34,2.59,3.38,1.43,0.67,1.03,1.25,1.29,1.38,1.55,1.45,0.12,0.13,0.24,0.31,0.29,0.29,0.09,0.08,0.57,0.55,1.52,1.5,1.06,1.02,0.41,0.42,2.17,2.31,0.77,0.8,0.37,0.34,1.72,1.78,0.62,0.64,1.06,0.64,0.52,459.95
TT_15q_725,PND12_HSC_0008,PND12,MUT,15q11-13 (patDp/+),PatDp(7Herc2-Mkrn3)1Taku/+,C57BL/6J,(Empty),P070-077,M,T2 FSE 3D,8,01/07/2012,56,0.16,8.07,10.37,5.77,1.26,10.48,0.33,1.51,0.77,0.73,0.91,4.33,2.42,0.07,1.77,0.16,0.26,0.1,5.98,1.71,1.58,3.54,3.06,2.16,1.36,0.79,4.22,0.17,0.3,1.76,1.14,0.32,0.09,0.22,2.9,3.25,1.2,1.06,0.77,1.43,1.44,0.43,0.76,5.06,4.91,2.43,0.08,2.06,0.27,0.46,0.24,0.22,0.68,26.65,0.67,0.39,16.57,12.78,0.17,8,0.75,0.71,0.79,4.91,3.44,3.75,3.21,0.9,1.97,4.36,0.18,1.89,1.31,0.28,0.1,0.31,2.38,3.06,1.18,0.59,0.92,1.16,1.25,1.3,1.5,1.38,0.12,0.12,0.25,0.3,0.29,0.28,0.08,0.08,0.57,0.58,1.49,1.56,1.05,1.05,0.41,0.44,2.04,2.23,0.71,0.77,0.34,0.33,1.62,1.65,0.61,0.62,1.05,0.57,0.59,439.23
TT_15q_727,PND12_HSC_0010,PND12,MUT,15q11-13 (patDp/+),PatDp(7Herc2-Mkrn3)1Taku/+,C57BL/6J,(Empty),P070-077,M,T2 FSE 3D,11,01/07/2012,56,0.17,8.84,11.13,5.74,1.33,11.48,0.33,1.62,0.78,0.73,1,4.76,2.63,0.08,1.84,0.17,0.24,0.1,6.21,1.81,1.77,3.39,2.93,2.1,1.42,0.81,3.95,0.16,0.3,1.67,1.06,0.31,0.08,0.2,2.76,3.24,1.14,1.08,0.75,1.5,1.58,0.42,0.71,5.2,4.98,2.57,0.08,2.3,0.26,0.49,0.26,0.22,0.78,27.46,0.71,0.41,17.51,14.12,0.19,8.51,0.81,0.78,0.87,5.16,3.73,3.9,3.22,0.99,2.09,4.52,0.19,1.95,1.38,0.29,0.11,0.33,2.52,3.25,1.41,0.7,1.02,1.19,1.28,1.31,1.54,1.42,0.12,0.12,0.24,0.3,0.29,0.28,0.08,0.08,0.57,0.56,1.54,1.53,1.06,1,0.41,0.42,2.13,2.27,0.75,0.8,0.36,0.34,1.73,1.73,0.61,0.63,1.04,0.65,0.53,458.69
TT_15q_735,PND12_HSC_0011,PND12,MUT,15q11-13 (patDp/+),PatDp(7Herc2-Mkrn3)1Taku/+,C57BL/6J,(Empty),P070-077,M,T2 FSE 3D,1,01/07/2012,56,0.16,7.98,10.14,5.61,1.26,10.28,0.3,1.48,0.81,0.78,0.91,4.38,2.53,0.08,1.58,0.16,0.27,0.11,6.11,1.49,1.68,3.32,2.88,2.09,1.31,0.76,4.28,0.17,0.31,1.74,1.11,0.32,0.09,0.21,2.86,3.29,1.18,1.1,0.8,1.51,1.41,0.46,0.77,4.97,4.59,2.42,0.08,2,0.28,0.45,0.25,0.25,0.71,26.51,0.66,0.39,16.98,12.86,0.17,7.92,0.74,0.74,0.75,5.02,3.43,3.82,3.24,0.96,1.96,4.74,0.19,1.95,1.38,0.28,0.1,0.32,2.46,2.98,1.32,0.64,1.07,1.11,1.24,1.26,1.48,1.32,0.12,0.12,0.24,0.29,0.29,0.28,0.08,0.07,0.55,0.54,1.42,1.42,1.01,0.98,0.4,0.41,1.96,2.12,0.67,0.73,0.32,0.3,1.59,1.59,0.6,0.59,1.03,0.55,0.53,437.9
TT_15q_736,PND12_HSC_0012,PND12,MUT,15q11-13 (patDp/+),PatDp(7Herc2-Mkrn3)1Taku/+,C57BL/6J,(Empty),P070-077,M,T2 FSE 3D,13,01/07/2012,56,0.15,8.24,10.36,5.84,1.26,10.65,0.33,1.51,0.81,0.76,0.98,4.58,2.63,0.08,1.64,0.17,0.26,0.12,6.09,1.59,1.69,3.35,2.88,2.15,1.37,0.81,4.3,0.17,0.31,1.78,1.1,0.32,0.09,0.2,2.93,3.52,1.26,1.18,0.79,1.62,1.49,0.42,0.72,5.21,4.94,2.6,0.08,2.25,0.28,0.46,0.27,0.25,0.74,28.01,0.69,0.42,17.67,13.32,0.17,8.17,0.74,0.74,0.78,5.16,3.71,3.64,3.09,0.88,1.96,4.34,0.17,1.81,1.29,0.26,0.1,0.31,2.38,3.14,1.29,0.61,0.96,1.16,1.26,1.31,1.48,1.38,0.12,0.12,0.24,0.29,0.29,0.28,0.08,0.07,0.56,0.55,1.5,1.48,1.06,1.01,0.41,0.42,2.02,2.19,0.69,0.75,0.33,0.31,1.68,1.69,0.6,0.61,1.03,0.59,0.56,451.73
TT_15q_748,PND12_HSC_0015,PND12,MUT,15q11-13 (patDp/+),PatDp(7Herc2-Mkrn3)1Taku/+,C57BL/6J,(Empty),P070-077,M,T2 FSE 3D,6,01/07/2012,56,0.15,7.91,10.36,5.57,1.23,10.48,0.31,1.45,0.76,0.74,0.9,4.29,2.48,0.07,1.7,0.17,0.24,0.11,5.85,1.53,1.64,3.33,2.93,2.16,1.3,0.77,4.33,0.17,0.31,1.76,1.12,0.32,0.09,0.21,2.84,3.39,1.18,1.09,0.76,1.46,1.44,0.42,0.71,5.03,4.7,2.48,0.07,2.07,0.28,0.45,0.23,0.22,0.7,26.22,0.66,0.37,16.45,12.83,0.16,7.85,0.75,0.74,0.8,5.01,3.51,3.75,3.16,0.93,1.99,4.46,0.18,1.92,1.37,0.28,0.11,0.33,2.39,3.08,1.31,0.62,0.96,1.1,1.18,1.21,1.39,1.29,0.12,0.12,0.24,0.29,0.28,0.27,0.08,0.08,0.55,0.55,1.43,1.47,1.02,0.99,0.4,0.42,1.94,2.09,0.67,0.73,0.32,0.31,1.55,1.56,0.58,0.58,1,0.57,0.54,432.1
TT_15q_749,PND12_HSC_0016,PND12,MUT,15q11-13 (patDp/+),PatDp(7Herc2-Mkrn3)1Taku/+,C57BL/6J,(Empty),P070-077,M,T2 FSE 3D,5,01/07/2012,56,0.15,8.08,10.45,5.51,1.26,10.83,0.33,1.51,0.78,0.75,0.99,4.58,2.58,0.08,1.66,0.16,0.25,0.12,5.96,1.6,1.68,3.37,2.91,2.18,1.35,0.77,4.26,0.17,0.31,1.75,1.09,0.32,0.09,0.2,2.93,3.63,1.31,1.18,0.81,1.61,1.5,0.47,0.83,5.1,4.92,2.54,0.08,2.26,0.29,0.46,0.25,0.22,0.73,27.11,0.68,0.39,17.1,13.07,0.17,7.81,0.76,0.76,0.79,5.01,3.67,3.86,3.17,0.98,2.12,4.58,0.18,1.93,1.34,0.28,0.1,0.32,2.4,3.06,1.34,0.63,0.99,1.14,1.22,1.27,1.48,1.36,0.11,0.13,0.23,0.3,0.28,0.29,0.08,0.07,0.56,0.55,1.45,1.45,1.03,1.01,0.41,0.42,1.95,2.12,0.67,0.73,0.32,0.31,1.66,1.66,0.6,0.61,0.98,0.61,0.56,444.17
TT_15q_760,PND12_HSC_0020,PND12,MUT,15q11-13 (patDp/+),PatDp(7Herc2-Mkrn3)1Taku/+,C57BL/6J,(Empty),P070-077,M,T2 FSE 3D,7,30/06/2012,56,0.15,8.03,10.42,5.77,1.27,10.51,0.32,1.47,0.8,0.76,0.96,4.56,2.58,0.08,1.83,0.16,0.25,0.11,6.08,1.64,1.69,3.32,2.87,2.11,1.34,0.79,4.1,0.17,0.31,1.74,1.08,0.34,0.09,0.2,2.81,3.39,1.23,1.15,0.8,1.59,1.45,0.43,0.77,5.11,4.8,2.46,0.08,2.09,0.28,0.47,0.25,0.23,0.73,26.1,0.68,0.39,16.46,12.94,0.16,7.88,0.76,0.75,0.79,5.02,3.51,3.82,3.2,0.95,1.97,4.37,0.18,1.94,1.35,0.28,0.1,0.31,2.34,3,1.37,0.65,1.04,1.17,1.26,1.28,1.54,1.39,0.12,0.12,0.24,0.29,0.29,0.28,0.08,0.07,0.57,0.55,1.5,1.46,1.06,0.99,0.41,0.42,2.03,2.14,0.72,0.75,0.35,0.32,1.64,1.71,0.63,0.62,1.07,0.57,0.5,442.85
